subj_idx,rt,response,group,conf,stim
0,0.414,0,Control,SL,1
0,0.263,1,Control,SL,2
0,0.298,1,Control,SL,2
0,0.294,0,Control,SL,1
0,0.374,1,Control,SL,2
0,0.378,1,Control,SL,2
0,0.353,1,Control,SL,2
0,0.272,1,Control,SL,2
0,0.402,1,Control,SL,2
0,0.317,0,Control,SL,1
0,0.317,1,Control,SL,2
0,0.383,0,Control,SL,1
0,0.25,1,Control,SL,2
0,0.312,0,Control,SL,1
0,0.25,1,Control,SL,2
0,0.262,0,Control,SL,1
0,0.376,1,Control,SL,2
0,0.278,0,Control,SL,1
0,0.268,0,Control,SL,1
0,0.28,0,Control,SL,1
0,0.24,1,Control,SL,2
0,0.322,1,Control,SL,2
0,0.276,1,Control,SL,2
0,0.352,1,Control,SL,2
0,0.301,1,Control,SL,2
0,0.333,0,Control,SL,1
0,0.387,0,Control,SL,1
0,0.262,0,Control,SL,1
0,0.249,0,Control,SL,1
0,0.328,0,Control,SL,1
0,0.261,0,Control,SL,1
0,0.275,1,Control,SL,2
0,0.259,1,Control,SL,2
0,0.372,0,Control,SL,1
0,0.256,0,Control,SL,1
0,0.272,0,Control,SL,1
0,0.291,1,Control,SL,2
0,0.286,1,Control,SL,2
0,0.37,0,Control,SL,1
0,0.272,1,Control,SL,2
0,0.288,1,Control,SL,2
0,0.352,1,Control,SL,2
0,0.269,0,Control,SL,1
0,0.274,0,Control,SL,1
0,0.255,0,Control,SL,1
0,0.358,0,Control,SL,1
0,0.386,1,Control,SL,2
0,0.258,0,Control,SL,1
0,0.251,0,Control,SL,1
0,0.252,1,Control,SL,2
0,0.355,0,Control,SL,1
0,0.326,0,Control,SL,1
0,0.299,0,Control,SL,1
0,0.28,0,Control,SL,1
0,0.267,0,Control,SL,1
0,0.264,1,Control,SL,2
0,0.27,1,Control,SL,2
0,0.321,0,Control,SL,1
0,0.286,0,Control,SL,1
0,0.284,1,Control,SL,2
0,0.268,0,Control,SL,1
0,0.242,1,Control,SL,2
0,0.3,0,Control,SL,1
0,0.368,0,Control,SL,1
0,0.302,1,Control,SL,2
0,0.282,0,Control,SL,1
0,0.269,1,Control,SL,2
