                              mean          std        2.5q         25q          50q          75q       97.5q       mc err
a(LH.Control)              1.00214    0.0413994      0.9211    0.974316      1.00176      1.03008     1.08418  0.000242469
a(LH.PD-Off)               1.09875     0.040663     1.01926     1.07129      1.09872      1.12607     1.17826  0.000269558
a(LH.PD-On)                1.14499    0.0410768     1.06406     1.11757      1.14462      1.17214     1.22622  0.000267019
a(LL.Control)              1.02435     0.041938    0.943444    0.996031      1.02381      1.05243     1.10751  0.000277329
a(LL.PD-Off)                 1.013     0.039801    0.935004    0.986167      1.01279      1.03973     1.09155  0.000233021
a(LL.PD-On)                1.10871    0.0408882     1.02958     1.08133      1.10865       1.1363     1.18931  0.000243919
a(SH.Control)             0.973388    0.0412712    0.892489    0.945705     0.973116      1.00102     1.05507  0.000245248
a(SH.PD-Off)               1.08456    0.0403059     1.00627     1.05723      1.08419      1.11155     1.16508  0.000220081
a(SH.PD-On)                1.10978    0.0410712     1.02979     1.08197      1.10974      1.13732     1.19029  0.000250872
a(SL.Control)               0.8833    0.0406006    0.803461    0.856224     0.883433     0.910212     0.96371  0.000209573
a(SL.PD-Off)               1.07242    0.0401333    0.994448     1.04534      1.07216      1.09915     1.15094  0.000259295
a(SL.PD-On)               0.948484    0.0395642    0.870987    0.921919     0.948709      0.97484     1.02652  0.000250819
a_std                     0.145502   0.00991872    0.127098    0.138583     0.145122     0.152005    0.166109  8.59588e-05
a_subj(LH.Control).0      0.906791    0.0525392    0.808376    0.870366     0.905513     0.941343     1.01429  0.000351272
a_subj(LH.Control).1      0.979966    0.0605491     0.86465    0.938419     0.978917      1.02034      1.1016  0.000387547
a_subj(LH.Control).2       1.08893    0.0626254    0.970276     1.04561      1.08728      1.13075     1.21495  0.000384012
a_subj(LH.Control).3      0.892894    0.0541958    0.791912    0.855286     0.891239     0.928305     1.00342  0.000298857
a_subj(LH.Control).4      0.721237     0.042361     0.64244    0.692128     0.719441     0.748858    0.808499  0.000289338
a_subj(LH.Control).5      0.988593    0.0623126    0.870562    0.945772     0.987417      1.02963     1.11424  0.000387311
a_subj(LH.Control).6        1.1988    0.0750974     1.05652     1.14711      1.19753       1.2483     1.35095  0.000606844
a_subj(LH.Control).7      0.857879    0.0464687    0.770132    0.825791     0.856625     0.888563     0.95256  0.000250668
a_subj(LH.Control).8       1.13135    0.0705565    0.996782     1.08298      1.12987      1.17803     1.27382  0.000492024
a_subj(LH.Control).10      1.02688    0.0577215     0.91876    0.986936      1.02535      1.06509     1.14505  0.000353368
a_subj(LH.Control).11     0.970382    0.0571228    0.862056    0.931051     0.969021      1.00817     1.08533  0.000355797
a_subj(LH.Control).12      1.17877    0.0712937     1.04427     1.13004       1.1773      1.22584       1.323  0.000407817
a_subj(LH.Control).13     0.855078     0.048895    0.763312    0.821584       0.8537     0.886985     0.95441  0.000274065
a_subj(LH.Control).14      1.16719    0.0756984     1.02331      1.1149      1.16657      1.21778     1.31803  0.000542549
a_subj(LH.Control).15      1.06449    0.0533872    0.964549     1.02779      1.06275      1.09936     1.17358  0.000347302
a_subj(LH.PD-Off).0        0.99494    0.0539827    0.894403    0.957231     0.992774      1.03068     1.10578  0.000317218
a_subj(LH.PD-Off).1        1.25786    0.0763179     1.11484     1.20515      1.25594      1.30836     1.41261  0.000529691
a_subj(LH.PD-Off).2         1.0535     0.054659    0.949838     1.01622      1.05207      1.08941     1.16428  0.000325947
a_subj(LH.PD-Off).3        1.14781    0.0662364     1.02322     1.10198      1.14624      1.19169     1.28178  0.000394596
a_subj(LH.PD-Off).4        1.11327    0.0605757    0.998759      1.0717      1.11163       1.1533     1.23665  0.000390676
a_subj(LH.PD-Off).5        1.09626    0.0654849    0.971802     1.05123      1.09495      1.13976     1.22892  0.000463036
a_subj(LH.PD-Off).6          1.093    0.0679284    0.964541     1.04623      1.09157       1.1379     1.22873  0.000531375
a_subj(LH.PD-Off).7        1.16137    0.0719311     1.02565     1.11164      1.16003      1.20916     1.30579  0.000389965
a_subj(LH.PD-Off).8        1.24382     0.077867     1.09669     1.19029       1.2427      1.29551     1.40013  0.000491086
a_subj(LH.PD-Off).9       0.971799    0.0623166     0.85471    0.928767     0.969708      1.01312     1.09779   0.00040756
a_subj(LH.PD-Off).10        1.3296    0.0680252     1.20161     1.28258      1.32762      1.37444     1.46938  0.000388857
a_subj(LH.PD-Off).11       1.02852    0.0538962    0.926259    0.991251      1.02697      1.06446      1.1378  0.000355461
a_subj(LH.PD-Off).12        1.0052    0.0530932    0.905391    0.968441      1.00368       1.0404     1.11291  0.000249898
a_subj(LH.PD-Off).13       1.03447    0.0546291    0.932132    0.996575      1.03314      1.07051     1.14618  0.000266536
a_subj(LH.PD-Off).14      0.927083    0.0605178    0.813806    0.885337     0.925411     0.967171     1.05045  0.000433265
a_subj(LH.PD-Off).15       1.12343    0.0699778    0.990089     1.07559       1.1218      1.16937     1.26572   0.00046823
a_subj(LH.PD-On).0         1.29481     0.072167     1.15744     1.24521      1.29332      1.34272      1.4409  0.000428946
a_subj(LH.PD-On).1         1.15225    0.0687351     1.02267     1.10506      1.15057      1.19775     1.29173  0.000443202
a_subj(LH.PD-On).2         1.26258    0.0625243     1.14397     1.21972      1.26105      1.30373     1.38919  0.000324591
a_subj(LH.PD-On).3          1.2568    0.0750562     1.11494     1.20506      1.25514      1.30642     1.40929   0.00048334
a_subj(LH.PD-On).4         1.03458    0.0566534    0.928522    0.995541      1.03312       1.0726     1.14935  0.000264234
a_subj(LH.PD-On).5         1.15686    0.0720548     1.01981     1.10728      1.15546      1.20504     1.30224     0.000458
a_subj(LH.PD-On).6        0.923171    0.0597302    0.810466    0.882149     0.921742     0.962788     1.04401  0.000432926
a_subj(LH.PD-On).7         1.08466    0.0559406    0.979395     1.04608      1.08339      1.12171     1.19734  0.000279734
a_subj(LH.PD-On).8         1.14384    0.0713786      1.0083     1.09503      1.14243      1.19132     1.28717  0.000452085
a_subj(LH.PD-On).9         0.91776    0.0505408    0.824196    0.882594     0.915971     0.950891      1.0226  0.000342884
a_subj(LH.PD-On).10          1.236    0.0642017     1.11421     1.19194        1.234      1.27816     1.36673  0.000345238
a_subj(LH.PD-On).11        1.02241    0.0599513    0.909942    0.981085      1.02061      1.06244     1.14456  0.000347782
a_subj(LH.PD-On).12        1.19499     0.060122     1.08043     1.15391      1.19364      1.23457     1.31655   0.00026384
a_subj(LH.PD-On).13         1.2135    0.0710394      1.0794     1.16425      1.21174      1.26079     1.35804  0.000359653
a_subj(LH.PD-On).14        1.11645    0.0707577    0.981649      1.0674      1.11561      1.16382     1.25698  0.000509871
a_subj(LH.PD-On).15        1.30863     0.081566     1.15295     1.25264      1.30713      1.36288     1.47362  0.000538028
a_subj(LL.Control).0       1.11334    0.0611511    0.997953     1.07101      1.11144      1.15427     1.23713  0.000365884
a_subj(LL.Control).1       1.00819    0.0656581     0.88444    0.962964      1.00637      1.05178     1.14187  0.000481694
a_subj(LL.Control).2       1.09037    0.0611197    0.975941     1.04815      1.08873      1.13122     1.21481  0.000312963
a_subj(LL.Control).3       1.03649     0.061328    0.921358    0.994307      1.03448      1.07698     1.16157  0.000346435
a_subj(LL.Control).4      0.771758    0.0446271    0.688271    0.740911     0.770873     0.801147    0.863231  0.000299886
a_subj(LL.Control).5      0.792612    0.0476131    0.704337    0.759518     0.790839     0.823656    0.890939  0.000292141
a_subj(LL.Control).6       1.21244    0.0779173     1.06384     1.15913      1.21074      1.26407     1.37073  0.000574139
a_subj(LL.Control).7       0.91017    0.0528376    0.811678    0.873398     0.908654     0.945016     1.01687  0.000287113
a_subj(LL.Control).8       1.17203    0.0725019     1.03492     1.12251      1.17037      1.22037     1.31849  0.000519489
a_subj(LL.Control).10      1.07269    0.0633521    0.953351     1.02879      1.07098      1.11465     1.20173  0.000397886
a_subj(LL.Control).11     0.862908    0.0497186    0.769056     0.82841     0.861601     0.896171     0.96354  0.000283637
a_subj(LL.Control).12      1.19671    0.0712402     1.06063     1.14762      1.19518      1.24384     1.34096  0.000458944
a_subj(LL.Control).13     0.903419    0.0525061    0.804137    0.867444     0.902193     0.938274     1.00871  0.000330363
a_subj(LL.Control).14      1.28163    0.0813616     1.12773     1.22586      1.28005      1.33573     1.44555  0.000618809
a_subj(LL.Control).15     0.941154    0.0546512    0.838915    0.903277     0.939484     0.977222     1.05273  0.000350372
a_subj(LL.PD-Off).0        1.02574    0.0542478     0.92378    0.988527      1.02471      1.06138     1.13626  0.000289934
a_subj(LL.PD-Off).1        1.18855    0.0757704     1.04452     1.13694      1.18643      1.23849     1.34383  0.000504216
a_subj(LL.PD-Off).2       0.956663     0.048109    0.867025    0.923254      0.95507      0.98841     1.05486  0.000258087
a_subj(LL.PD-Off).3       0.961252    0.0534945    0.862178    0.924157     0.959283     0.996383     1.07161  0.000396155
a_subj(LL.PD-Off).4        1.15523    0.0683231     1.02609     1.10829      1.15354      1.20052     1.29304  0.000411628
a_subj(LL.PD-Off).5        1.07633    0.0669537    0.950357     1.02988      1.07465      1.12059     1.21149  0.000378365
a_subj(LL.PD-Off).6       0.941805    0.0608717    0.826809    0.899929     0.940594     0.981891     1.06481  0.000445555
a_subj(LL.PD-Off).7        1.12218    0.0769195    0.980207     1.06879      1.11957      1.17236     1.28111  0.000383178
a_subj(LL.PD-Off).8        1.10066     0.065541    0.977156      1.0552      1.09869      1.14393     1.23466  0.000407066
a_subj(LL.PD-Off).9       0.745148    0.0441722    0.663169    0.714155     0.743472     0.774053    0.836416  0.000315618
a_subj(LL.PD-Off).10       1.13727     0.057439     1.02906     1.09777      1.13569      1.17496     1.25445  0.000269643
a_subj(LL.PD-Off).11        1.1496    0.0562576     1.04383     1.11082       1.1479      1.18635     1.26432   0.00031849
a_subj(LL.PD-Off).12      0.963634    0.0504153    0.868136    0.929084     0.962356     0.996773     1.06655  0.000271655
a_subj(LL.PD-Off).13       1.06771    0.0647474    0.945129       1.023      1.06649       1.1103     1.19932  0.000356104
a_subj(LL.PD-Off).14       0.77531    0.0488929    0.685178    0.741217     0.773365     0.807225    0.876494  0.000346734
a_subj(LL.PD-Off).15      0.839812    0.0548858    0.739102    0.801451     0.837564     0.875655    0.953171  0.000370538
a_subj(LL.PD-On).0         1.13823    0.0580282     1.02883     1.09822      1.13652      1.17694     1.25527  0.000278414
a_subj(LL.PD-On).1         1.19975    0.0699832     1.06839     1.15119       1.1981      1.24613     1.34129  0.000460464
a_subj(LL.PD-On).2         1.23076    0.0603952     1.11744     1.18901      1.22943      1.27091     1.35312  0.000296078
a_subj(LL.PD-On).3         1.14521    0.0672427     1.01858     1.09906      1.14387       1.1893     1.28239  0.000412227
a_subj(LL.PD-On).4         1.19335    0.0688281     1.06221     1.14632      1.19159      1.23891     1.33216  0.000430307
a_subj(LL.PD-On).5        0.887479    0.0551895    0.784758    0.849588     0.885406     0.923195     1.00142  0.000326568
a_subj(LL.PD-On).6        0.714227    0.0496378    0.621863    0.679762     0.712562      0.74703    0.815231  0.000412048
a_subj(LL.PD-On).7        0.998891    0.0601526    0.886292    0.957444     0.997122      1.03855     1.12253  0.000321466
a_subj(LL.PD-On).8         1.17338    0.0694819     1.04312     1.12572      1.17182       1.2188     1.31527  0.000462764
a_subj(LL.PD-On).9          1.0414    0.0659352    0.915622    0.996293      1.04019      1.08477     1.17414  0.000460672
a_subj(LL.PD-On).10         1.2968    0.0655396     1.17357     1.25131      1.29495      1.34004     1.43206  0.000367685
a_subj(LL.PD-On).11        1.00524    0.0615591    0.888308     0.96284      1.00394      1.04628     1.12985  0.000374127
a_subj(LL.PD-On).12        1.12345    0.0587138     1.01337     1.08279      1.12166      1.16257     1.24298  0.000332688
a_subj(LL.PD-On).13        1.29251     0.072662     1.15578     1.24226      1.29068      1.34057     1.44024  0.000495953
a_subj(LL.PD-On).14        1.14238    0.0739081     1.00206     1.09152       1.1409      1.19136      1.2919  0.000549771
a_subj(LL.PD-On).15        1.15946     0.070402     1.02753     1.11109      1.15729      1.20572     1.30239  0.000466309
a_subj(SH.Control).0       1.07892    0.0632755    0.960582      1.0353      1.07686      1.12058     1.20779  0.000401472
