                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
a(Control)                 0.96226    0.0340448   0.896258   0.939314     0.961963     0.98484     1.03005  0.000212788
a(PD-Off)                  1.05724    0.0333777   0.991756    1.03483      1.05702     1.07939     1.12373  0.000205038
a(PD-On)                   1.06445    0.0332671   0.999547    1.04231      1.06411     1.08657     1.13073  0.000224054
a_std                     0.123872    0.0154026  0.0974072   0.113109     0.122526    0.133301    0.157535  9.08602e-05
a_subj(Control).0         0.993541    0.0356376   0.926248    0.96915     0.992494     1.01679     1.06679  0.000303975
a_subj(Control).1         0.927166    0.0413654   0.850175   0.898748     0.925642    0.953838     1.01335  0.000421793
a_subj(Control).2          1.02397    0.0341451   0.960056    1.00047      1.02318     1.04645     1.09365  0.000258662
a_subj(Control).3          1.06874    0.0435619   0.987285    1.03859      1.06711     1.09744     1.15826  0.000447234
a_subj(Control).4         0.751667    0.0260558   0.702354   0.733934     0.750986    0.768795    0.804756  0.000209747
a_subj(Control).5         0.902601    0.0370889   0.833289   0.877036     0.901328    0.926881    0.978722  0.000345213
a_subj(Control).6          1.09887    0.0505377    1.00489    1.06382      1.09741      1.1315     1.20324    0.0006318
a_subj(Control).7         0.806657    0.0247751   0.760086   0.789559      0.80591    0.822999     0.85718  0.000186412
a_subj(Control).8          1.07255    0.0489119   0.982039    1.03878       1.0707     1.10445     1.17365  0.000494253
a_subj(Control).10         1.01276    0.0365004   0.944152   0.987722      1.01182      1.0364     1.08738  0.000270925
a_subj(Control).11        0.754592    0.0230053    0.71128   0.738762     0.753818    0.769843    0.801286  0.000160737
a_subj(Control).12         1.10187     0.042094    1.02275     1.0728      1.10064     1.12964     1.18716  0.000331123
a_subj(Control).13        0.797961    0.0272438    0.74703   0.779216     0.797123    0.815982    0.853785  0.000199004
a_subj(Control).14         1.10008    0.0509606    1.00519    1.06483      1.09855     1.13331     1.20472  0.000620443
a_subj(Control).15         1.01807     0.039375    0.94513   0.990761      1.01702     1.04371     1.09928  0.000379054
a_subj(PD-Off).0           1.07045    0.0349563    1.00392    1.04641      1.06965     1.09381      1.1406  0.000264365
a_subj(PD-Off).1             1.216    0.0553644    1.11373    1.17744       1.2138     1.25205     1.33038  0.000553889
a_subj(PD-Off).2           1.00263    0.0293519   0.947076   0.982599        1.002     1.02209     1.06179  0.000197931
a_subj(PD-Off).3           1.17854    0.0474904    1.09048     1.1453      1.17714     1.20973     1.27553  0.000433579
a_subj(PD-Off).4           1.02979    0.0334642   0.966421     1.0068      1.02886     1.05187     1.09728  0.000262912
a_subj(PD-Off).5           1.01956     0.042107   0.941333   0.990627      1.01802      1.0472     1.10573  0.000410511
a_subj(PD-Off).6          0.978583    0.0432874    0.89803   0.948685     0.977296     1.00706     1.06718   0.00056097
a_subj(PD-Off).7           1.03819    0.0350655   0.971623    1.01403      1.03731     1.06157     1.10875  0.000221289
a_subj(PD-Off).8           1.13817    0.0483674    1.04784    1.10491      1.13637     1.16951     1.23841  0.000487136
a_subj(PD-Off).9          0.874544    0.0350903   0.808834    0.85037     0.873183    0.897591    0.946217  0.000291129
a_subj(PD-Off).10          1.21853    0.0381165    1.14709    1.19252      1.21751      1.2435     1.29639  0.000283014
a_subj(PD-Off).11          1.08002    0.0295042     1.0234    1.05977      1.07937     1.09976     1.13947  0.000171467
