                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a(LH.Control)              1.0025    0.0414107    0.921507    0.974608     1.00253      1.03021    1.08366  0.000221038
a(LH.PD-Off)                1.099    0.0407409     1.01922      1.0717     1.09868      1.12632    1.17983   0.00023439
a(LH.PD-On)               1.14613    0.0409727     1.06638     1.11839     1.14577      1.17378    1.22699  0.000296232
a(LL.Control)             1.02454    0.0420101    0.941966    0.996264     1.02459      1.05254    1.10717  0.000239896
a(LL.PD-Off)              1.01297    0.0398869    0.936219    0.985747     1.01292      1.03978    1.09131   0.00024994
a(LL.PD-On)               1.10883    0.0409918     1.02799     1.08122     1.10901      1.13624    1.18913  0.000269687
a(SH.Control)            0.973746    0.0412665    0.893391    0.946137    0.973462      1.00135    1.05597  0.000247267
a(SH.PD-Off)              1.08513    0.0404869     1.00638     1.05807     1.08491      1.11217    1.16515  0.000262788
a(SH.PD-On)               1.11016    0.0408074     1.03108     1.08267     1.10988      1.13737    1.19066  0.000275611
a(SL.Control)             0.88337    0.0405969    0.803992    0.856135    0.883082     0.910481   0.963542  0.000223857
a(SL.PD-Off)              1.07292    0.0405243    0.993869     1.04545     1.07259      1.10015    1.15297  0.000273433
a(SL.PD-On)              0.948346    0.0392181    0.870697    0.922028    0.948756     0.974687    1.02457  0.000246096
a_std                    0.145546    0.0100067    0.127034     0.13862    0.145103     0.152028   0.166417  9.08883e-05
a_subj(LH.Control).0      0.90648    0.0525097    0.807589    0.870203    0.905047     0.941034    1.01312  0.000326556
a_subj(LH.Control).1     0.980566    0.0606446    0.866306    0.938693    0.978974      1.02095    1.10339  0.000383306
a_subj(LH.Control).2       1.0888    0.0625985    0.970044     1.04552     1.08737      1.13033    1.21565  0.000316646
a_subj(LH.Control).3     0.893256     0.053784    0.792513    0.856275    0.891479     0.928399    1.00424   0.00035131
a_subj(LH.Control).4      0.72176    0.0425132    0.643099    0.692366    0.720114     0.749427   0.810655  0.000328953
a_subj(LH.Control).5     0.988911    0.0623997    0.871526    0.945959    0.987516      1.03044    1.11547  0.000420851
a_subj(LH.Control).6      1.20021    0.0755181     1.05662     1.14868     1.19833      1.24971    1.35382  0.000606001
a_subj(LH.Control).7     0.858398    0.0461707    0.771627    0.826478    0.857255     0.888817   0.952693   0.00024202
a_subj(LH.Control).8      1.13159     0.070653    0.998282     1.08313     1.12956      1.17802    1.27558   0.00048904
a_subj(LH.Control).10      1.0279    0.0578951    0.919429    0.988033     1.02636      1.06607    1.14625  0.000305449
a_subj(LH.Control).11    0.970536    0.0563643    0.864447    0.931692    0.968859      1.00796    1.08511  0.000321372
a_subj(LH.Control).12     1.17804    0.0708799     1.04446      1.1291      1.1763       1.2248    1.32184  0.000410498
a_subj(LH.Control).13    0.855133    0.0493058    0.762584    0.821038    0.853768     0.887848   0.956193  0.000263559
a_subj(LH.Control).14     1.16844    0.0760199     1.02572     1.11642     1.16676       1.2183    1.32305  0.000515423
a_subj(LH.Control).15     1.06542    0.0533745    0.964938     1.02879      1.0639      1.10075    1.17358  0.000359892
